SubjectNumber,Block,Trial,Time,Key,Exp,Error,Condition
1,1,1,872,1,1,1,1
1,1,2,826,0,0,1,3
1,1,3,882,1,1,1,3
1,1,4,1076,0,0,1,3
1,1,5,568,0,0,1,1
1,1,6,746,0,0,1,2
1,1,7,658,0,0,1,1
1,1,8,716,0,0,1,1
1,1,9,760,1,1,1,2
1,1,10,676,1,1,1,1
1,1,11,940,0,1,0,2
1,1,12,704,1,1,1,1
1,1,13,660,1,1,1,2
1,1,14,596,1,1,1,3
1,1,15,476,1,1,1,1
1,1,16,832,1,1,1,3
1,1,17,664,1,1,1,2
1,1,18,832,1,1,1,2
1,1,19,592,1,0,0,1
1,1,20,912,0,0,1,2
1,1,21,544,0,0,1,1
1,1,22,814,0,0,1,2
1,1,23,1342,0,1,0,3
1,1,24,730,1,1,1,3
1,1,25,588,1,1,1,1
1,1,26,988,0,0,1,3
1,1,27,900,0,0,1,2
1,1,28,700,0,0,1,2
1,1,29,906,0,0,1,3
1,1,30,930,0,0,1,3
1,2,1,1080,0,1,0,3
1,2,2,852,1,1,1,2
1,2,3,674,0,0,1,1
1,2,4,642,1,1,1,3
1,2,5,766,1,1,1,1
1,2,6,524,1,1,1,1
1,2,7,1162,0,1,0,3
1,2,8,568,0,0,1,1
1,2,9,842,0,0,1,2
1,2,10,1632,0,0,1,2
1,2,11,1198,1,1,1,2
1,2,12,784,0,0,1,1
1,2,13,684,1,1,1,1
1,2,14,1276,0,0,1,3
1,2,15,894,0,0,1,2
1,2,16,854,1,1,1,1
1,2,17,676,1,1,1,2
1,2,18,1930,1,1,1,3
1,2,19,1138,1,1,1,1
1,2,20,1380,0,0,1,2
1,2,21,1066,0,0,1,1
1,2,22,1410,0,0,1,3
1,2,23,1526,0,0,1,3
1,2,24,886,1,1,1,2
1,2,25,584,1,1,1,2
1,2,26,744,0,0,1,1
1,2,27,792,0,0,1,2
1,2,28,1618,0,0,1,3
1,2,29,1250,0,0,1,3
1,2,30,1008,1,1,1,3
1,3,1,790,1,1,1,1
1,3,2,1626,1,1,1,3
1,3,3,592,1,1,1,3
1,3,4,1648,0,0,1,3
1,3,5,810,1,1,1,1
1,3,6,668,1,1,1,2
1,3,7,918,0,0,1,2
1,3,8,1044,0,0,1,2
1,3,9,942,1,1,1,1
1,3,10,754,0,0,1,1
1,3,11,842,1,1,1,2
1,3,12,1128,1,1,1,2
1,3,13,1744,0,0,1,3
1,3,14,1964,1,1,1,3
1,3,15,1248,1,1,1,3
1,3,16,662,1,1,1,2
1,3,17,544,1,1,1,3
1,3,18,1852,0,0,1,3
1,3,19,1588,0,0,1,3
1,3,20,1454,0,0,1,3
1,3,21,686,0,0,1,1
1,3,22,692,0,0,1,1
1,3,23,800,0,0,1,1
1,3,24,1364,0,0,1,2
1,3,25,782,0,0,1,1
1,3,26,978,0,0,1,2
1,3,27,1354,0,0,1,2
1,3,28,1038,1,1,1,2
1,3,29,600,1,1,1,1
1,3,30,752,1,1,1,1
1,4,1,822,1,1,1,3
1,4,2,1620,0,0,1,3
1,4,3,986,0,0,1,2
1,4,4,1834,0,0,1,3
1,4,5,908,0,0,1,1
1,4,6,796,1,1,1,3
1,4,7,1190,1,1,1,3
1,4,8,940,0,0,1,2
1,4,9,542,1,1,1,1
1,4,10,1172,0,0,1,3
1,4,11,1384,1,1,1,2
1,4,12,784,1,1,1,2
1,4,13,1108,1,1,1,1
1,4,14,760,0,0,1,1
1,4,15,1526,0,0,1,3
1,4,16,734,1,1,1,1
1,4,17,688,0,0,1,1
1,4,18,864,0,0,1,2
1,4,19,772,0,0,1,2
1,4,20,666,0,0,1,1
1,4,21,1938,0,0,1,3
1,4,22,696,1,1,1,1
1,4,23,1054,1,1,1,3
1,4,24,1398,1,1,1,3
1,4,25,828,1,1,1,1
1,4,26,1588,0,0,1,2
1,4,27,654,1,1,1,2
1,4,28,752,1,1,1,2
1,4,29,632,0,0,1,1
1,4,30,972,1,1,1,2
1,5,1,820,0,0,1,1
1,5,2,900,1,1,1,2
1,5,3,852,0,0,1,2
1,5,4,578,1,1,1,3
1,5,5,1514,0,0,1,3
1,5,6,508,1,1,1,1
1,5,7,548,1,1,1,1
1,5,8,896,0,0,1,2
1,5,9,1240,0,0,1,3
1,5,10,894,1,1,1,2
1,5,11,1142,0,0,1,3
1,5,12,1230,0,0,1,2
1,5,13,708,1,1,1,1
1,5,14,1384,0,0,1,3
1,5,15,800,1,1,1,2
1,5,16,922,0,0,1,2
1,5,17,1040,1,1,1,3
1,5,18,770,1,1,1,3
1,5,19,1016,1,1,1,3
1,5,20,572,1,1,1,1
1,5,21,566,1,1,1,1
1,5,22,504,1,1,1,2
1,5,23,1490,0,0,1,3
1,5,24,854,0,0,1,1
1,5,25,860,1,1,1,3
1,5,26,744,0,0,1,1
1,5,27,680,0,0,1,1
1,5,28,638,1,1,1,2
1,5,29,930,0,0,1,2
1,5,30,760,0,0,1,1
2,1,1,4766,0,0,1,2
2,1,2,1846,1,1,1,3
2,1,3,1918,0,0,1,2
2,1,4,2000,1,1,1,2
2,1,5,2400,0,0,1,1
2,1,6,2632,0,0,1,1
2,1,7,3434,1,1,1,1
2,1,8,1992,0,0,1,2
2,1,9,1090,1,1,1,1
2,1,10,2392,1,1,1,3
2,1,11,4192,0,0,1,3
2,1,12,1154,1,1,1,1
2,1,13,2072,1,1,1,3
2,1,14,2592,0,0,1,3
2,1,15,1574,1,1,1,2
2,1,16,3506,1,1,1,1
2,1,17,1256,1,1,1,2
2,1,18,2844,1,1,1,3
2,1,19,870,1,1,1,3
2,1,20,594,1,1,1,2
2,1,21,2338,0,0,1,3
2,1,22,3174,0,0,1,3
2,1,23,856,0,0,1,2
2,1,24,4286,0,0,1,3
2,1,25,1252,0,0,1,1
2,1,26,1306,0,0,1,1
2,1,27,1712,0,0,1,2
2,1,28,1030,1,1,1,2
2,1,29,1368,0,0,1,1
2,1,30,2152,1,1,1,1
2,2,1,3546,0,0,1,2
2,2,2,1572,1,1,1,3
2,2,3,3774,1,0,0,1
2,2,4,2500,1,1,1,1
2,2,5,2024,1,1,1,3
2,2,6,2376,1,1,1,1
2,2,7,6250,0,0,1,2
2,2,8,1466,0,0,1,1
2,2,9,1776,1,1,1,2
2,2,10,768,1,1,1,1
2,2,11,1598,1,1,1,2
2,2,12,4968,0,0,1,2
2,2,13,2850,0,0,1,3
2,2,14,2702,0,0,1,3
2,2,15,1120,0,0,1,1
2,2,16,906,1,1,1,1
2,2,17,1906,1,1,1,2
2,2,18,1830,0,0,1,3
2,2,19,1438,0,1,0,3
2,2,20,2072,1,1,1,2
2,2,21,3370,0,0,1,2
2,2,22,1374,0,0,1,1
2,2,23,2134,0,0,1,2
2,2,24,3258,0,0,1,1
2,2,25,1258,1,1,1,2
2,2,26,800,1,1,1,1
2,2,27,922,1,1,1,3
2,2,28,1000,1,1,1,3
2,2,29,4846,0,0,1,3
2,2,30,3022,0,0,1,3
2,3,1,3498,0,0,1,3
2,3,2,3618,0,0,1,1
2,3,3,3918,0,0,1,3
2,3,4,3238,0,0,1,2
2,3,5,2104,1,1,1,3
2,3,6,1214,1,1,1,2
2,3,7,2742,0,0,1,2
2,3,8,5172,0,0,1,2
2,3,9,3282,1,1,1,3
2,3,10,1744,1,1,1,3
2,3,11,4898,1,1,1,2
2,3,12,2716,0,0,1,3
2,3,13,996,1,1,1,1
2,3,14,3842,0,0,1,3
2,3,15,3622,1,1,1,3
2,3,16,3210,0,0,1,3
2,3,17,1082,1,1,1,3
2,3,18,3838,0,0,1,1
2,3,19,1540,1,1,1,1
2,3,20,1964,1,1,1,1
2,3,21,1696,0,0,1,2
2,3,22,1224,1,1,1,2
2,3,23,1150,1,1,1,2
2,3,24,1766,0,0,1,1
2,3,25,1430,0,0,1,1
2,3,26,928,1,1,1,1
2,3,27,2054,1,1,1,1
2,3,28,2872,1,1,1,2
2,3,29,5224,0,0,1,2
2,3,30,1690,0,0,1,1
2,4,1,3848,0,0,1,3
2,4,2,3204,1,1,1,2
2,4,3,1858,1,1,1,1
2,4,4,1816,1,1,1,2
2,4,5,1284,1,1,1,2
2,4,6,2398,0,0,1,1
2,4,7,3742,0,0,1,3
2,4,8,3588,0,0,1,3
2,4,9,2396,0,0,1,2
2,4,10,1428,1,1,1,3
2,4,11,4392,0,1,0,3
2,4,12,3604,1,1,1,2
2,4,13,5442,0,0,1,3
2,4,14,3566,0,0,1,2
2,4,15,3376,1,1,1,3
2,4,16,4484,0,0,1,2
2,4,17,1598,1,1,1,2
2,4,18,1232,0,0,1,1
2,4,19,934,1,1,1,1
2,4,20,644,1,1,1,1
2,4,21,4446,1,1,1,3
2,4,22,1134,1,1,1,1
2,4,23,6264,0,0,1,2
2,4,24,1792,0,0,1,1
2,4,25,2318,0,0,1,1
2,4,26,2822,1,1,1,3
2,4,27,2332,0,0,1,1
2,4,28,5130,0,0,1,3
2,4,29,2852,1,1,1,1
2,4,30,3868,0,0,1,2
2,5,1,2146,1,1,1,3
2,5,2,3734,1,1,1,2
2,5,3,4510,0,0,1,3
2,5,4,1728,0,0,1,1
2,5,5,1052,1,1,1,3
2,5,6,2694,0,1,0,3
2,5,7,1870,1,1,1,2
2,5,8,4782,0,0,1,1
2,5,9,4644,0,0,1,1
2,5,10,6064,0,0,1,3
2,5,11,2596,0,0,1,2
2,5,12,1822,1,1,1,2
2,5,13,1736,0,0,1,2
2,5,14,3830,0,0,1,2
2,5,15,2074,1,1,1,1
2,5,16,1452,1,1,1,2
2,5,17,5924,0,0,1,3
2,5,18,1582,0,0,1,2
2,5,19,1762,0,0,1,2
2,5,20,938,0,0,1,1
2,5,21,1192,1,1,1,1
2,5,22,2316,1,1,1,1
2,5,23,2580,1,1,1,3
2,5,24,1866,0,0,1,1
2,5,25,2248,1,1,1,3
2,5,26,3608,1,1,1,2
2,5,27,3340,0,0,1,3
2,5,28,756,1,1,1,1
2,5,29,1586,1,1,1,1
2,5,30,4124,0,0,1,3
3,1,1,1228,0,0,1,2
3,1,2,1340,1,1,1,2
3,1,3,2936,1,1,1,3
3,1,4,1194,0,0,1,1
3,1,5,1252,1,1,1,1
3,1,6,1304,0,0,1,1
3,1,7,1712,0,0,1,1
3,1,8,1830,1,1,1,1
3,1,9,2726,1,1,1,3
3,1,10,1614,0,0,1,1
3,1,11,3452,0,0,1,3
3,1,12,1850,1,1,1,2
3,1,13,2042,0,0,1,3
3,1,14,1878,1,1,1,1
3,1,15,2362,0,0,1,1
3,1,16,1910,1,1,1,1
3,1,17,1616,1,1,1,3
3,1,18,2208,0,0,1,3
3,1,19,1658,1,1,1,3
3,1,20,1856,0,0,1,2
3,1,21,2422,1,1,1,1
3,1,22,1804,0,0,1,2
3,1,23,3418,0,0,1,3
3,1,24,2218,0,0,1,2
3,1,25,2006,1,1,1,2
3,1,26,3830,0,0,1,3
3,1,27,1582,0,0,1,2
3,1,28,1938,1,1,1,2
3,1,29,3800,1,1,1,3
3,1,30,906,1,1,1,2
3,2,1,4256,0,0,1,3
3,2,2,2316,1,1,1,2
3,2,3,1380,1,1,1,2
3,2,4,1476,0,0,1,1
3,2,5,1986,0,0,1,1
3,2,6,876,1,1,1,1
3,2,7,2296,0,0,1,2
3,2,8,2306,1,1,1,3
3,2,9,1402,1,1,1,1
3,2,10,1734,0,0,1,1
3,2,11,2786,0,0,1,2
3,2,12,1786,1,1,1,3
3,2,13,2818,0,0,1,2
3,2,14,728,1,1,1,3
3,2,15,1288,1,1,1,1
3,2,16,1442,1,1,1,3
3,2,17,3788,1,1,1,2
3,2,18,3582,0,0,1,3
3,2,19,2942,0,0,1,3
3,2,20,902,0,0,1,1
3,2,21,3240,1,1,1,1
3,2,22,1082,0,0,1,2
3,2,23,2456,0,0,1,3
3,2,24,1730,0,0,1,2
3,2,25,752,1,1,1,1
3,2,26,1150,1,1,1,3
3,2,27,3710,0,0,1,3
3,2,28,922,1,1,1,2
3,2,29,1216,0,0,1,1
3,2,30,1440,1,1,1,2
3,3,1,2098,1,1,1,3
3,3,2,1464,1,1,1,1
3,3,3,6448,0,0,1,1
3,3,4,2412,0,0,1,3
3,3,5,4914,0,0,1,1
3,3,6,2314,0,0,1,3
3,3,7,948,0,0,1,1
3,3,8,2998,1,1,1,2
3,3,9,1632,0,0,1,3
3,3,10,2032,0,0,1,3
3,3,11,1876,0,1,0,3
3,3,12,2090,0,0,1,2
3,3,13,1098,1,1,1,1
3,3,14,4086,0,0,1,3
3,3,15,1034,1,1,1,2
3,3,16,4878,0,0,1,2
3,3,17,1594,0,0,1,1
3,3,18,3130,1,1,1,2
3,3,19,1680,0,0,1,2
3,3,20,1146,1,1,1,3
3,3,21,1858,1,1,1,3
3,3,22,704,1,1,1,1
3,3,23,1516,0,0,1,2
3,3,24,1772,1,1,1,1
3,3,25,1660,0,0,1,2
3,3,26,2584,1,1,1,3
3,3,27,1076,0,0,1,1
3,3,28,866,1,1,1,2
3,3,29,1056,1,1,1,2
3,3,30,880,1,1,1,1
3,4,1,4486,0,0,1,3
3,4,2,3736,0,0,1,3
3,4,3,2536,0,0,1,3
3,4,4,2834,0,0,1,1
3,4,5,3782,0,0,1,3
3,4,6,1314,1,1,1,1
3,4,7,3102,0,0,1,2
3,4,8,3680,1,1,1,3
3,4,9,2150,0,0,1,2
3,4,10,1048,1,1,1,2
3,4,11,2218,0,0,1,1
3,4,12,3586,1,1,1,3
3,4,13,634,1,1,1,2
3,4,14,1334,1,1,1,3
3,4,15,1530,0,0,1,2
3,4,16,1860,1,1,1,1
3,4,17,1442,1,1,1,3
3,4,18,3106,1,1,1,1
3,4,19,2170,1,1,1,3
3,4,20,2466,0,0,1,2
3,4,21,4370,0,0,1,3
3,4,22,1490,0,0,1,1
3,4,23,1006,0,0,1,1
3,4,24,1626,1,1,1,1
3,4,25,1010,1,1,1,2
3,4,26,1414,1,1,1,2
3,4,27,852,0,0,1,1
3,4,28,1848,1,1,1,1
3,4,29,2302,1,1,1,2
3,4,30,1144,0,0,1,2
3,5,1,2216,0,1,0,2
3,5,2,2738,0,0,1,2
3,5,3,1424,1,1,1,3
3,5,4,1532,0,1,0,2
3,5,5,1868,0,0,1,1
3,5,6,3402,0,0,1,3
3,5,7,5030,0,0,1,3
3,5,8,2986,0,0,1,2
3,5,9,1182,1,1,1,2
3,5,10,986,1,1,1,3
3,5,11,2640,0,0,1,2
3,5,12,5016,0,0,1,3
3,5,13,926,0,0,1,1
3,5,14,1804,0,0,1,3
3,5,15,2128,1,1,1,3
3,5,16,1148,0,0,1,1
3,5,17,1180,1,1,1,2
3,5,18,2158,0,0,1,2
3,5,19,1000,1,1,1,2
3,5,20,1254,1,1,1,3
3,5,21,626,1,1,1,1
3,5,22,3502,0,0,1,1
3,5,23,974,1,1,1,1
3,5,24,990,0,0,1,2
3,5,25,2884,0,0,1,1
3,5,26,3996,1,1,1,3
3,5,27,1504,1,1,1,1
3,5,28,2828,0,0,1,3
3,5,29,1112,1,1,1,1
3,5,30,2090,1,1,1,1
4,1,1,1062,0,0,1,1
4,1,2,758,0,0,1,1
4,1,3,990,0,0,1,1
4,1,4,942,1,1,1,3
4,1,5,812,1,1,1,1
4,1,6,1348,0,0,1,3
4,1,7,1126,1,1,1,2
4,1,8,1744,0,0,1,3
4,1,9,938,0,0,1,2
4,1,10,784,0,0,1,1
4,1,11,1270,0,0,1,2
4,1,12,944,0,0,1,2
4,1,13,782,1,1,1,3
4,1,14,858,0,0,1,2
4,1,15,742,1,1,1,1
4,1,16,760,1,1,1,2
4,1,17,1496,1,1,1,3
4,1,18,1340,0,0,1,3
4,1,19,664,1,1,1,2
4,1,20,944,0,0,1,2
4,1,21,1852,0,0,1,3
4,1,22,964,1,1,1,3
4,1,23,660,1,1,1,2
4,1,24,742,1,1,1,2
4,1,25,1086,1,1,1,3
4,1,26,852,0,0,1,1
4,1,27,1610,0,0,1,3
4,1,28,874,1,1,1,1
4,1,29,900,1,1,1,1
4,1,30,614,1,1,1,1
4,2,1,716,1,1,1,1
4,2,2,950,1,1,1,2
4,2,3,1370,0,1,0,3
4,2,4,836,1,1,1,1
4,2,5,1122,1,1,1,3
4,2,6,1116,1,1,1,1
4,2,7,1710,0,0,1,3
4,2,8,1260,0,0,1,2
4,2,9,896,0,0,1,1
4,2,10,1504,1,1,1,3
4,2,11,1028,0,0,1,1
4,2,12,934,0,0,1,1
4,2,13,914,0,0,1,1
4,2,14,1216,0,0,1,1
4,2,15,800,1,1,1,2
4,2,16,1172,0,0,1,2
4,2,17,1080,1,1,1,2
4,2,18,1608,0,0,1,3
4,2,19,1280,0,0,1,2
4,2,20,1306,1,1,1,3
4,2,21,568,1,1,1,1
4,2,22,1234,1,1,1,3
4,2,23,1800,0,0,1,3
4,2,24,972,0,0,1,2
4,2,25,1358,0,0,1,2
4,2,26,654,1,1,1,1
4,2,27,1888,0,0,1,3
4,2,28,1420,1,1,1,2
4,2,29,1192,1,1,1,2
4,2,30,1812,0,0,1,3
4,3,1,1880,1,1,1,3
4,3,2,972,0,0,1,1
4,3,3,1126,1,1,1,2
4,3,4,766,1,1,1,3
4,3,5,1708,0,0,1,3
4,3,6,978,0,0,1,1
4,3,7,1682,0,0,1,3
4,3,8,884,1,1,1,2
4,3,9,1310,0,0,1,2
4,3,10,844,0,0,1,2
4,3,11,610,1,1,1,1
4,3,12,1240,0,0,1,2
4,3,13,590,1,1,1,1
4,3,14,1398,0,0,1,2
4,3,15,788,0,0,1,1
4,3,16,1630,0,0,1,3
4,3,17,1798,0,0,1,3
4,3,18,1418,1,1,1,2
4,3,19,702,1,1,1,1
4,3,20,780,1,1,1,3
4,3,21,992,1,1,1,2
4,3,22,488,1,1,1,1
4,3,23,994,1,1,1,3
4,3,24,1002,1,1,1,3
4,3,25,904,1,1,1,2
4,3,26,944,0,0,1,1
4,3,27,1540,0,0,1,3
4,3,28,1708,0,0,1,2
4,3,29,1000,0,1,0,1
4,3,30,1190,0,0,1,1
4,4,1,1638,1,1,1,3
4,4,2,1124,1,1,1,2
4,4,3,1190,1,1,1,3
4,4,4,930,1,1,1,1
4,4,5,1734,0,0,1,3
4,4,6,706,1,1,1,1
4,4,7,1926,0,0,1,3
4,4,8,1086,0,0,1,2
4,4,9,964,0,0,1,2
4,4,10,814,1,1,1,3
4,4,11,1446,0,0,1,2
4,4,12,648,0,1,0,1
4,4,13,1106,1,1,1,3
4,4,14,726,0,0,1,1
4,4,15,1760,0,0,1,3
4,4,16,2064,0,0,1,3
4,4,17,930,1,1,1,1
4,4,18,944,0,0,1,1
4,4,19,1772,0,0,1,3
4,4,20,1156,0,0,1,1
4,4,21,740,0,0,1,1
4,4,22,892,1,1,1,2
4,4,23,980,1,1,1,2
4,4,24,854,1,1,1,1
4,4,25,884,1,1,1,3
4,4,26,1262,0,0,1,2
4,4,27,1016,1,1,1,2
4,4,28,814,1,1,1,2
4,4,29,1184,0,0,1,1
4,4,30,1450,0,0,1,2
4,5,1,1200,1,1,1,3
4,5,2,732,1,1,1,1
4,5,3,852,1,1,1,2
4,5,4,1738,0,1,0,3
4,5,5,2404,0,0,1,3
4,5,6,1922,0,0,1,3
4,5,7,1988,1,1,1,3
4,5,8,924,1,1,1,1
4,5,9,1444,0,0,1,2
4,5,10,972,0,0,1,1
4,5,11,1262,0,0,1,2
4,5,12,856,1,1,1,1
4,5,13,1198,1,1,1,2
4,5,14,1064,1,1,1,3
4,5,15,2304,0,0,1,3
4,5,16,1244,0,0,1,2
4,5,17,1176,0,0,1,2
4,5,18,2244,0,0,1,3
4,5,19,1124,1,1,1,2
4,5,20,820,0,0,1,1
4,5,21,750,0,0,1,1
4,5,22,1758,0,1,0,3
4,5,23,1670,1,1,1,2
4,5,24,992,1,1,1,1
4,5,25,728,1,1,1,2
4,5,26,1426,0,0,1,2
4,5,27,886,1,1,1,1
4,5,28,1000,0,0,1,1
4,5,29,2110,0,0,1,3
4,5,30,1178,0,0,1,1
5,1,1,1318,0,0,1,2
5,1,2,1052,1,1,1,2
5,1,3,1348,0,0,1,1
5,1,4,824,1,1,1,1
5,1,5,1296,0,0,1,3
5,1,6,712,1,1,1,1
5,1,7,1122,0,0,1,1
5,1,8,1350,0,0,1,2
5,1,9,1912,0,1,0,2
5,1,10,1618,0,0,1,2
5,1,11,762,1,1,1,1
5,1,12,1520,0,0,1,3
5,1,13,1090,1,1,1,3
5,1,14,1526,1,1,1,3
5,1,15,686,0,0,1,1
5,1,16,1270,1,1,1,3
5,1,17,1704,0,0,1,3
5,1,18,1232,1,1,1,1
5,1,19,1774,0,0,1,3
5,1,20,1126,1,1,1,2
5,1,21,990,0,0,1,1
5,1,22,910,1,1,1,2
5,1,23,1204,1,1,1,2
5,1,24,854,1,1,1,3
5,1,25,1524,0,0,1,2
5,1,26,852,1,1,1,1
5,1,27,1818,1,1,1,3
5,1,28,1062,0,0,1,2
5,1,29,1174,0,0,1,1
5,1,30,1992,0,0,1,3
5,2,1,2254,0,0,1,2
5,2,2,1524,0,1,0,3
5,2,3,1492,1,1,1,2
5,2,4,1480,1,1,1,2
5,2,5,1172,1,1,1,1
5,2,6,1994,0,0,1,2
5,2,7,2362,0,0,1,3
5,2,8,1654,0,0,1,3
5,2,9,1122,1,1,1,2
5,2,10,1692,1,1,1,3
5,2,11,1020,0,0,1,1
5,2,12,1400,0,0,1,3
5,2,13,1078,1,1,1,3
5,2,14,964,0,0,1,1
5,2,15,1486,0,0,1,3
5,2,16,868,1,1,1,2
5,2,17,712,1,1,1,1
5,2,18,1028,0,0,1,2
5,2,19,2358,1,1,1,3
5,2,20,1978,1,1,1,1
5,2,21,1342,0,0,1,2
5,2,22,880,0,1,0,1
5,2,23,3148,0,0,1,3
5,2,24,2032,0,0,1,2
5,2,25,1196,0,0,1,1
5,2,26,2702,1,1,1,2
5,2,27,1552,1,1,1,3
5,2,28,1830,0,0,1,1
5,2,29,1552,1,1,1,1
5,2,30,1054,0,0,1,1
5,3,1,2578,0,0,1,3
5,3,2,1576,1,1,1,2
5,3,3,812,0,0,1,1
5,3,4,2910,1,1,1,3
5,3,5,1618,0,0,1,2
5,3,6,1128,0,0,1,2
5,3,7,754,0,0,1,1
5,3,8,888,0,0,1,1
5,3,9,1298,1,1,1,2
5,3,10,1720,1,1,1,1
5,3,11,1782,0,0,1,3
5,3,12,2084,1,1,1,1
5,3,13,1180,1,1,1,2
5,3,14,1986,1,1,1,1
5,3,15,1548,0,0,1,1
5,3,16,1106,0,0,1,2
5,3,17,1976,0,0,1,3
5,3,18,1122,0,1,0,1
5,3,19,2098,1,1,1,3
5,3,20,4018,0,0,1,3
5,3,21,1332,0,0,1,3
5,3,22,2088,0,1,0,3
5,3,23,2736,1,1,1,3
5,3,24,1998,0,0,1,1
5,3,25,1966,0,0,1,2
5,3,26,2036,0,0,1,2
5,3,27,1370,1,1,1,1
5,3,28,922,1,1,1,2
5,3,29,1922,1,1,1,3
5,3,30,2042,1,1,1,2
5,4,1,2794,0,0,1,3
5,4,2,2064,0,0,1,2
5,4,3,1916,0,0,1,2
5,4,4,1284,0,0,1,1
5,4,5,2294,1,1,1,1
5,4,6,1738,1,1,1,2
5,4,7,1278,0,0,1,1
5,4,8,2030,0,0,1,2
5,4,9,2004,0,0,1,2
5,4,10,2940,0,0,1,3
5,4,11,1132,1,1,1,1
5,4,12,1268,0,0,1,2
5,4,13,2514,1,1,1,3
5,4,14,3006,0,0,1,3
5,4,15,1232,0,0,1,1
5,4,16,2144,1,1,1,2
5,4,17,1720,0,0,1,3
5,4,18,1188,1,1,1,1
5,4,19,3920,0,0,1,3
5,4,20,1326,1,1,1,3
5,4,21,1410,0,0,1,1
5,4,22,1800,1,1,1,2
5,4,23,2252,1,1,1,3
5,4,24,1218,1,1,1,2
5,4,25,1426,1,1,1,3
5,4,26,1612,1,1,1,1
5,4,27,814,1,1,1,1
5,4,28,2390,1,1,1,3
5,4,29,1814,0,0,1,1
5,4,30,1674,1,1,1,2
5,5,1,2010,1,1,1,3
5,5,2,1112,0,0,1,1
5,5,3,1738,0,0,1,2
5,5,4,726,1,1,1,1
5,5,5,3150,1,1,1,3
5,5,6,816,1,1,1,2
5,5,7,1178,1,1,1,2
5,5,8,2366,0,0,1,2
5,5,9,1282,1,1,1,1
5,5,10,2660,1,1,1,3
5,5,11,1378,1,1,1,1
5,5,12,3568,0,0,1,3
5,5,13,1162,0,0,1,1
5,5,14,1110,0,0,1,2
5,5,15,1248,0,0,1,2
5,5,16,2214,1,1,1,3
5,5,17,800,1,1,1,1
5,5,18,1026,0,0,1,2
5,5,19,3488,0,0,1,3
5,5,20,1656,0,0,1,3
5,5,21,2156,0,0,1,3
5,5,22,812,0,0,1,1
5,5,23,974,1,1,1,2
5,5,24,1438,0,0,1,1
5,5,25,2672,0,0,1,1
5,5,26,1092,1,1,1,1
5,5,27,1338,1,1,1,3
5,5,28,886,0,1,0,2
5,5,29,3152,0,0,1,3
5,5,30,1236,1,1,1,2
6,1,1,2074,0,0,1,1
6,1,2,1506,0,0,1,1
6,1,3,3262,1,0,0,3
6,1,4,926,0,0,1,1
6,1,5,1508,0,0,1,1
6,1,6,830,0,0,1,1
6,1,7,798,1,1,1,1
6,1,8,1968,0,0,1,2
6,1,9,2828,0,0,1,3
6,1,10,2440,1,1,1,3
6,1,11,1180,1,1,1,2
6,1,12,2254,1,1,1,2
6,1,13,1780,1,1,1,1
6,1,14,1604,1,1,1,3
6,1,15,1222,1,1,1,1
6,1,16,2702,0,0,1,2
6,1,17,2200,1,1,1,3
6,1,18,2124,0,0,1,2
6,1,19,2882,1,1,1,3
6,1,20,1752,0,0,1,2
6,1,21,2882,0,0,1,3
6,1,22,1112,1,1,1,2
6,1,23,1548,0,0,1,2
6,1,24,1330,1,1,1,1
6,1,25,1680,1,1,1,2
6,1,26,3240,0,0,1,3
6,1,27,1034,1,1,1,3
6,1,28,1318,1,1,1,2
6,1,29,988,1,1,1,1
6,1,30,2996,0,0,1,3
6,2,1,1056,1,1,1,1
6,2,2,1840,1,1,1,3
6,2,3,1530,0,0,1,2
6,2,4,4010,0,0,1,3
6,2,5,1118,1,1,1,1
6,2,6,1658,0,0,1,2
6,2,7,3556,0,0,1,3
6,2,8,846,0,0,1,1
6,2,9,1620,1,1,1,3
6,2,10,3052,0,0,1,3
6,2,11,2674,0,0,1,1
6,2,12,1102,1,1,1,2
6,2,13,978,1,1,1,1
6,2,14,1562,0,0,1,2
6,2,15,984,1,1,1,1
6,2,16,2960,0,0,1,2
6,2,17,750,1,1,1,2
6,2,18,926,0,0,1,1
6,2,19,1394,1,1,1,2
6,2,20,1042,1,1,1,3
6,2,21,2780,0,0,1,3
6,2,22,1148,0,0,1,1
6,2,23,1244,1,1,1,1
6,2,24,1280,1,1,1,2
6,2,25,2130,0,0,1,2
6,2,26,1198,0,0,1,1
6,2,27,1120,1,1,1,2
6,2,28,1202,1,1,1,3
6,2,29,3116,0,0,1,3
6,2,30,1804,1,1,1,3
6,3,1,3302,0,0,1,3
6,3,2,1026,1,1,1,1
6,3,3,2684,0,0,1,2
6,3,4,2856,1,1,1,3
6,3,5,1896,0,0,1,1
6,3,6,828,1,1,1,3
6,3,7,1386,0,0,1,2
6,3,8,1146,1,1,1,3
6,3,9,1720,0,0,1,2
6,3,10,1206,0,0,1,1
6,3,11,2262,0,0,1,3
6,3,12,1652,1,1,1,2
6,3,13,1024,1,1,1,2
6,3,14,2308,1,1,1,3
6,3,15,2460,0,0,1,3
6,3,16,1470,1,1,1,2
6,3,17,982,1,1,1,1
6,3,18,1270,0,0,1,2
6,3,19,2258,1,1,1,2
6,3,20,1536,1,1,1,1
6,3,21,1242,0,0,1,1
6,3,22,2320,0,0,1,2
6,3,23,1672,0,0,1,1
6,3,24,3536,0,0,1,3
6,3,25,1278,1,1,1,1
